Identifiant_page,date_visite,titre,URL_page,adresse_mail
103,2023-10-25,stage1,https://www.example.com/page1,t
104,2023-10-26,stage3,https://www.example.com/page2,t
105,2023-10-27,stage2,https://www.example.com/page3,t
106,2023-10-28,stage4,https://www.example.com/page4,t
107,2023-10-29,stage5,https://www.example.com/page5,t
109,2023-10-25,stage1,https://www.example.com/page1,t
110,2023-10-26,stage3,https://www.example.com/page2,t
111,2023-10-27,stage2,https://www.example.com/page3,t
112,2023-10-28,stage4,https://www.example.com/page4,t
113,2023-10-29,stage5,https://www.example.com/page5,t
115,2023-10-25,stage1,https://www.example.com/page1,t
116,2023-10-26,stage3,https://www.example.com/page2,t
48,2023-11-24,Stage - Chargé(e) de projets SIRH (H/F) - Janvier 2024 - 6 mois,https://www.stage.fr/job/6548418/stage-chargé-e-de-projets-sirh-h-f-janvier-2024-6-mois/,t
49,2023-11-24,Stage - Chargé(e) de projets SIRH (H/F) - Janvier 2024 - 6 mois,https://www.stage.fr/job/6548418/stage-chargé-e-de-projets-sirh-h-f-janvier-2024-6-mois/,t
117,2023-10-27,stage2,https://www.example.com/page3,t
118,2023-10-28,stage4,https://www.example.com/page4,t
119,2023-10-29,stage5,https://www.example.com/page5,t
121,2023-10-25,stage1,https://www.example.com/page1,t
122,2023-10-26,stage3,https://www.example.com/page2,t
123,2023-10-27,stage2,https://www.example.com/page3,t
124,2023-10-28,stage4,https://www.example.com/page4,t
125,2023-10-29,stage5,https://www.example.com/page5,t
127,2023-10-25,stage1,https://www.example.com/page1,t
128,2023-10-26,stage3,https://www.example.com/page2,t
129,2023-10-27,stage2,https://www.example.com/page3,t
130,2023-10-28,stage4,https://www.example.com/page4,t
131,2023-10-29,stage5,https://www.example.com/page5,t
133,2023-10-25,stage1,https://www.example.com/page1,t
134,2023-10-26,stage3,https://www.example.com/page2,t
135,2023-10-27,stage2,https://www.example.com/page3,t
136,2023-10-28,stage4,https://www.example.com/page4,t
137,2023-10-29,stage5,https://www.example.com/page5,t
139,2023-10-25,stage1,https://www.example.com/page1,t
140,2023-10-26,stage3,https://www.example.com/page2,t
